2017/01/23 09:41:59 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread started:  1-27 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-27 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-27 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread started:  1-28 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-28 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-28 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread started:  1-29 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-29 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-29 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread started:  1-30 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-30 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-30 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread started:  1-31 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-31 
2017/01/23 09:42:08 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-31 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread started:  1-32 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-32 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-32 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread started:  1-33 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-33 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-33 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread started:  1-34 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-34 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-34 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread started:  1-35 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-35 
2017/01/23 09:42:09 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-35 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread started:  1-36 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-36 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-36 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread started:  1-37 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-37 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-37 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread started:  1-38 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-38 
2017/01/23 09:42:10 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-38 
2017/01/23 09:42:11 INFO  - jmeter.threads.JMeterThread: Thread started:  1-39 
